GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_WL,SEASON_ID,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,HOME_WIN,HOME_Overall_WinPCT,HOME_Home_WinPCT,AWAY_Overall_WinPCT,AWAY_Away_WinPCT
0022000101,2021-01-04,1610612744,GSW,W,22020,1610612758,SAC,1,0.5,0.5,0.5,0.3333333333333333
0022000100,2021-01-04,1610612740,NOP,L,22020,1610612754,IND,0,0.6666666666666666,1.0,0.6666666666666666,1.0
0022000105,2021-01-05,1610612746,LAC,L,22020,1610612759,SAS,0,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.5
0022000102,2021-01-05,1610612751,BKN,W,22020,1610612762,UTA,1,0.42857142857142855,0.4,0.6666666666666666,1.0
0022000103,2021-01-05,1610612763,MEM,L,22020,1610612747,LAL,0,0.3333333333333333,0.0,0.7142857142857143,1.0
0022000104,2021-01-05,1610612743,DEN,W,22020,1610612750,MIN,1,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
0022000106,2021-01-05,1610612757,POR,L,22020,1610612741,CHI,0,0.5,0.5,0.42857142857142855,0.6666666666666666
0022000109,2021-01-06,1610612755,PHI,W,22020,1610612764,WAS,1,0.8571428571428571,1.0,0.2857142857142857,0.6666666666666666
0022000110,2021-01-06,1610612737,ATL,L,22020,1610612766,CHA,0,0.5714285714285714,0.3333333333333333,0.2857142857142857,0.25
0022000111,2021-01-06,1610612748,MIA,L,22020,1610612738,BOS,0,0.5,0.75,0.625,0.6
0022000108,2021-01-06,1610612753,ORL,W,22020,1610612739,CLE,1,0.7142857142857143,0.5,0.5714285714285714,0.5
0022000115,2021-01-06,1610612756,PHX,W,22020,1610612761,TOR,1,0.7142857142857143,0.6666666666666666,0.16666666666666666,0.0
0022000116,2021-01-06,1610612744,GSW,L,22020,1610612746,LAC,0,0.5714285714285714,0.6666666666666666,0.625,0.75
0022000112,2021-01-06,1610612752,NYK,W,22020,1610612762,UTA,1,0.5714285714285714,0.5,0.5714285714285714,0.75
0022000114,2021-01-06,1610612740,NOP,L,22020,1610612760,OKC,0,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.6666666666666666
0022000113,2021-01-06,1610612749,MIL,W,22020,1610612765,DET,1,0.5714285714285714,1.0,0.14285714285714285,0.0
0022000117,2021-01-06,1610612758,SAC,W,22020,1610612741,CHI,1,0.42857142857142855,0.6666666666666666,0.5,0.75
0022000107,2021-01-06,1610612754,IND,W,22020,1610612745,HOU,1,0.7142857142857143,0.6,0.4,0.0
0022000119,2021-01-07,1610612763,MEM,L,22020,1610612739,CLE,0,0.2857142857142857,0.0,0.5,0.4
0022000118,2021-01-07,1610612751,BKN,W,22020,1610612755,PHI,1,0.5,0.5,0.875,0.6666666666666666
0022000122,2021-01-07,1610612757,POR,W,22020,1610612750,MIN,1,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.25
0022000120,2021-01-07,1610612743,DEN,L,22020,1610612742,DAL,0,0.42857142857142855,0.4,0.42857142857142855,0.4
0022000121,2021-01-07,1610612747,LAL,L,22020,1610612759,SAS,0,0.75,0.5,0.42857142857142855,0.6666666666666666
0022000126,2021-01-08,1610612740,NOP,L,22020,1610612766,CHA,0,0.5,0.5,0.375,0.4
0022000123,2021-01-08,1610612765,DET,W,22020,1610612756,PHX,1,0.125,0.25,0.75,0.75
0022000132,2021-01-08,1610612758,SAC,L,22020,1610612761,TOR,0,0.5,0.75,0.14285714285714285,0.0
0022000124,2021-01-08,1610612738,BOS,W,22020,1610612764,WAS,1,0.6666666666666666,0.6666666666666666,0.25,0.5
0022000127,2021-01-08,1610612745,HOU,W,22020,1610612753,ORL,1,0.3333333333333333,0.6666666666666666,0.75,1.0
0022000130,2021-01-08,1610612744,GSW,W,22020,1610612746,LAC,1,0.5,0.5,0.6666666666666666,0.8
0022000128,2021-01-08,1610612763,MEM,W,22020,1610612751,BKN,1,0.25,0.0,0.5555555555555556,0.5
0022000131,2021-01-08,1610612747,LAL,W,22020,1610612741,CHI,1,0.6666666666666666,0.4,0.4444444444444444,0.6
0022000129,2021-01-08,1610612749,MIL,L,22020,1610612762,UTA,0,0.625,1.0,0.5,0.6
0022000125,2021-01-08,1610612752,NYK,L,22020,1610612760,OKC,0,0.625,0.6666666666666666,0.42857142857142855,0.75
0022000139,2021-01-09,1610612742,DAL,W,22020,1610612753,ORL,1,0.5,0.5,0.6666666666666666,0.75
0022000137,2021-01-09,1610612749,MIL,W,22020,1610612739,CLE,1,0.5555555555555556,0.8,0.5555555555555556,0.5
0022000135,2021-01-09,1610612754,IND,L,22020,1610612756,PHX,0,0.75,0.6666666666666666,0.6666666666666666,0.6
0022000136,2021-01-09,1610612764,WAS,L,22020,1610612748,MIA,0,0.2222222222222222,0.0,0.42857142857142855,0.0
0022000134,2021-01-09,1610612766,CHA,W,22020,1610612737,ATL,1,0.4444444444444444,0.3333333333333333,0.5,0.75
0022000140,2021-01-09,1610612758,SAC,L,22020,1610612757,POR,0,0.4444444444444444,0.6,0.5,0.5
0022000133,2021-01-09,1610612755,PHI,L,22020,1610612743,DEN,0,0.7777777777777778,1.0,0.375,0.5
0022000138,2021-01-09,1610612750,MIN,L,22020,1610612759,SAS,0,0.25,0.3333333333333333,0.5,0.75
0022000147,2021-01-10,1610612750,MIN,W,22020,1610612759,SAS,1,0.2222222222222222,0.25,0.5555555555555556,0.8
0022000146,2021-01-10,1610612745,HOU,L,22020,1610612747,LAL,0,0.42857142857142855,0.75,0.7,1.0
0022000148,2021-01-10,1610612744,GSW,W,22020,1610612761,TOR,1,0.5555555555555556,0.6,0.25,0.2
0022000144,2021-01-10,1610612752,NYK,L,22020,1610612743,DEN,0,0.5555555555555556,0.5,0.4444444444444444,0.6666666666666666
0022000143,2021-01-10,1610612751,BKN,L,22020,1610612760,OKC,0,0.5,0.5714285714285714,0.5,0.8
0022000142,2021-01-10,1610612746,LAC,W,22020,1610612741,CHI,1,0.6,0.5,0.4,0.5
0022000141,2021-01-10,1610612765,DET,L,22020,1610612762,UTA,0,0.2222222222222222,0.4,0.5555555555555556,0.6666666666666666
0022000149,2021-01-11,1610612766,CHA,W,22020,1610612752,NYK,1,0.5,0.5,0.5,0.6
0022000152,2021-01-11,1610612764,WAS,W,22020,1610612756,PHX,1,0.2,0.0,0.7,0.6666666666666666
0022000153,2021-01-11,1610612737,ATL,W,22020,1610612755,PHI,1,0.4444444444444444,0.25,0.7,0.5
0022000151,2021-01-11,1610612753,ORL,L,22020,1610612749,MIL,0,0.6,0.6,0.6,0.25
